Author,Cancer,Cell Line,Coumarin,Dose,Time,Viability,SD,Unit
Lintao Wang 2015,breast,MDA-MB 435,Osthole,20.0,36h,93.1,± 5,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,40.0,36h,89.3,± 5,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,60.0,36h,84.8,± 5,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,80.0,36h,80.5,± 2,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,100.0,36h,62.3,± 3,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,20.0,48h,92.3,± 2,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,40.0,48h,87.5,± 2,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,60.0,48h,79.8,± 5,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,80.0,48h,64.5,± 3,µM
Lintao Wang 2015,breast,MDA-MB 435,Osthole,100.0,48h,44.9,± 3,µM
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,20.47,24h,91.4,± 0,µM
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,40.94,24h,82.8,± 0,µM
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,102.34,24h,80.0,± 0,µM
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,20.47,48h,66.6,± 0.02,µM
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,40.94,48h,51.2,± 0,µM
Yue-qiang Chen 2022,breast,MDA-MB-231,Osthole,102.34,48h,41.0,± 0,µM
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,20.47,24h,76.9,± 0,µM
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,40.94,24h,76.9,± 0.02,µM
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,102.34,24h,69.2,± 0,µM
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,20.47,48h,62.9,± 0.01,µM
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,40.94,48h,64.8,± 0.02,µM
Yue-qiang Chen 2022,breast,MDA-MB-231BO,Osthole,102.34,48h,50.0,± 0.02,µM
Yue-qiang Chen 2022,breast,MCF-7,Osthole,20.47,24h,94.1,± 0,µM
Yue-qiang Chen 2022,breast,MCF-7,Osthole,40.94,24h,88.2,± 0,µM
Yue-qiang Chen 2022,breast,MCF-7,Osthole,102.34,24h,82.3,± 0,µM
Yue-qiang Chen 2022,breast,MCF-7,Osthole,20.47,48h,97.6,± 0.02,µM
Yue-qiang Chen 2022,breast,MCF-7,Osthole,40.94,48h,92.8,± 0.02,µM
Yue-qiang Chen 2022,breast,MCF-7,Osthole,102.34,48h,88.0,± 0.02,µM
Xing-Hua Zhou 2021,Colorectal cancer,HT‑29,Osthole,25.0,24h,89.0,± 2,µM
Xing-Hua Zhou 2021,Colorectal cancer,HT‑29,Osthole,50.0,24h,76.0,± 4,µM
Xing-Hua Zhou 2021,Colorectal cancer,HT‑29,Osthole,100.0,24h,67.7,± 3,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,4.0,24h,76.0,± 5,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,20.0,24h,58.0,± 5,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,500.0,24h,13.0,± 6,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,1000.0,24h,5.0,± 5,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,4.0,48h,66.0,± 5,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,20.0,48h,40.0,± 5,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,500.0,48h,5.0,± 2,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,1000.0,48h,2.0,± 0,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,4.0,72h,40.0,± 6,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,20.0,72h,23.0,± 6,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,500.0,72h,3.0,± 0,µM
Xu Chao2014,hepatocellular carcinoma,HepG2,Osthole,1000.0,72h,2.0,± 2,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,20.0,24h,97.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,40.0,24h,94.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,80.0,24h,85.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,120.0,24h,64.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,160.0,24h,51.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,200.0,24h,43.0,± 2,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,240.0,24h,30.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,20.0,48h,96.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,40.0,48h,90.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,80.0,48h,65.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,120.0,48h,41.0,± 2,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,160.0,48h,37.0,± 3,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,200.0,48h,27.0,± 1,µM
Lei Liu 2017,renal cell carcinoma,ACHN,Osthole,240.0,48h,17.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,20.0,24h,96.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,40.0,24h,92.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,80.0,24h,78.0,± 1,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,120.0,24h,62.0,± 2,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,160.0,24h,54.0,± 4,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,200.0,24h,45.0,± 3,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,240.0,24h,38.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,20.0,48h,94.0,± 0,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,40.0,48h,78.0,± 4,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,80.0,48h,65.0,± 3,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,120.0,48h,50.0,± 4,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,160.0,48h,40.0,± 3,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,200.0,48h,26.0,± 4,µM
Lei Liu 2017,renal cell carcinoma,786-O,Osthole,240.0,48h,18.0,± 0,µM
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,24.0,24h,80.0,± 8,µM
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,27.0,24h,66.0,± 4,µM
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,37.0,24h,50.0,± 5,µM
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,53.0,24h,8.0,± 3,µM
Yiyi Ye 2013,breast,MDA-MB-231,Osthole,84.0,24h,7.0,± 1,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,409.37,24h,86.5,± 0,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,818.73,24h,65.25,± 0,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,1637.47,24h,45.75,± 0,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,409.37,48h,61.0,± 0,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,818.73,48h,41.5,± 0,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,1637.47,48h,23.0,± 0,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,409.37,72h,41.0,± 0,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,818.73,72h,23.0,± 0,µM
Sugai Yin 2021,Cervical Carcinoma,HeLa,Osthole,1637.47,72h,10.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,25.0,12h,80.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,50.0,12h,62.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,100.0,12h,43.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,150.0,12h,38.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,200.0,12h,36.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,25.0,24h,78.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,50.0,24h,60.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,100.0,24h,43.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,150.0,24h,34.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,200.0,24h,32.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,25.0,48h,88.0,± 1,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,50.0,48h,57.0,± 1,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,100.0,48h,37.0,± 0,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,150.0,48h,31.0,± 1,µM
Lu Wang 2016,Osteosarcoma,MG-63,Osthole,200.0,48h,23.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,25.0,12h,88.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,50.0,12h,70.0,± 2,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,100.0,12h,60.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,150.0,12h,52.0,± 2,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,200.0,12h,30.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,25.0,24h,60.0,± 2,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,50.0,24h,43.0,± 1,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,100.0,24h,33.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,150.0,24h,30.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,200.0,24h,36.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,25.0,48h,62.0,± 1,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,50.0,48h,38.0,± 1,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,100.0,48h,26.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,150.0,48h,23.0,± 0,µM
Lu Wang 2016,Osteosarcoma,SaOS-2,Osthole,200.0,48h,18.0,± 0,µM
Yalda Shokoohinia 2014,Prostate cancer,PC3,Osthole,3.0,24h,89.0,± 0,µM
Yalda Shokoohinia 2014,Prostate cancer,PC3,Osthole,15.0,24h,73.0,± 0,µM
Yalda Shokoohinia 2014,Prostate cancer,PC3,Osthole,30.0,24h,64.0,± 0,µM
Yalda Shokoohinia 2014,Prostate cancer,PC3,Osthole,60.0,24h,56.0,± 0,µM
Yalda Shokoohinia 2014,Prostate cancer,PC3,Osthole,120.0,24h,58.0,± 0,µM
Yalda Shokoohinia 2014,Prostate cancer,PC3,Osthole,240.0,24h,55.0,± 0,µM
Yalda Shokoohinia 2014,Prostate cancer,PC3,Osthole,300.0,24h,47.0,± 0,µM
Yalda Shokoohinia 2014,Lung cancer,H1299,Osthole,3.0,24h,114.0,± 0,µM
Yalda Shokoohinia 2014,Lung cancer,H1299,Osthole,15.0,24h,107.0,± 0,µM
Yalda Shokoohinia 2014,Lung cancer,H1299,Osthole,30.0,24h,104.0,± 0,µM
Yalda Shokoohinia 2014,Lung cancer,H1299,Osthole,60.0,24h,70.0,± 0,µM
Yalda Shokoohinia 2014,Lung cancer,H1299,Osthole,120.0,24h,66.0,± 0,µM
Yalda Shokoohinia 2014,Lung cancer,H1299,Osthole,240.0,24h,64.0,± 0,µM
Yalda Shokoohinia 2014,Lung cancer,H1299,Osthole,300.0,24h,58.0,± 0,µM
Jing Liang 2020,Ovarian endometrioid adenocarcinoma,A2780,Osthole,10.0,24h,88.0,± 7,µM
Jing Liang 2020,Ovarian endometrioid adenocarcinoma,A2780,Osthole,20.0,24h,82.0,± 6,µM
Jing Liang 2020,Ovarian endometrioid adenocarcinoma,A2780,Osthole,30.0,24h,77.0,± 3,µM
Jing Liang 2020,Ovarian endometrioid adenocarcinoma,A2780,Osthole,40.0,24h,75.0,± 2,µM
Jing Liang 2020,Ovarian endometrioid adenocarcinoma,A2780,Osthole,50.0,24h,66.0,± 3,µM
Jing Liang 2020,Ovarian endometrioid adenocarcinoma,A2780,Osthole,60.0,24h,57.0,± 0,µM
Jing Liang 2020,Ovarian endometrioid adenocarcinoma,A2780,Osthole,70.0,24h,54.0,± 3,µM
Jing Liang 2020,Ovarian endometrioid adenocarcinoma,A2780,Osthole,80.0,24h,34.0,± 1,µM
Jing Liang 2020,ovarian carcinoma,OVCAR3,Osthole,10.0,24h,81.0,± 6,µM
Jing Liang 2020,ovarian carcinoma,OVCAR3,Osthole,20.0,24h,65.0,± 1,µM
Jing Liang 2020,ovarian carcinoma,OVCAR3,Osthole,30.0,24h,64.0,± 0,µM
Jing Liang 2020,ovarian carcinoma,OVCAR3,Osthole,40.0,24h,59.0,± 5,µM
Jing Liang 2020,ovarian carcinoma,OVCAR3,Osthole,50.0,24h,56.0,± 1,µM
Jing Liang 2020,ovarian carcinoma,OVCAR3,Osthole,60.0,24h,47.0,± 2,µM
Jing Liang 2020,ovarian carcinoma,OVCAR3,Osthole,70.0,24h,47.0,± 1,µM
Jing Liang 2020,ovarian carcinoma,OVCAR3,Osthole,80.0,24h,40.0,± 6,µM
Hui Huang 2022,hepatocellular carcinoma,HCC-LM3,Osthole,1.0,24h,95.0,± 12,µM
Hui Huang 2022,hepatocellular carcinoma,HCC-LM3,Osthole,3.0,24h,85.0,± 7,µM
Hui Huang 2022,hepatocellular carcinoma,HCC-LM3,Osthole,10.0,24h,71.0,± 8,µM
Hui Huang 2022,hepatocellular carcinoma,HCC-LM3,Osthole,30.0,24h,60.0,± 11,µM
Hui Huang 2022,hepatocellular carcinoma,HCC-LM3,Osthole,1.0,48h,92.0,± 11,µM
Hui Huang 2022,hepatocellular carcinoma,HCC-LM3,Osthole,3.0,48h,75.0,± 12,µM
Hui Huang 2022,hepatocellular carcinoma,HCC-LM3,Osthole,10.0,48h,68.0,± 9,µM
Hui Huang 2022,hepatocellular carcinoma,HCC-LM3,Osthole,30.0,48h,59.0,± 7,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,0.0,24h,105.0,± 1,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,0.01,24h,110.0,± 2,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,0.1,24h,111.0,± 1,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,1.0,24h,107.0,± 1,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,10.0,24h,104.0,± 1,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,0.0,48h,109.0,± 1,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,0.01,48h,115.0,± 3,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,0.1,48h,117.0,± 1,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,1.0,48h,112.0,± 1,µM
JIA Min2016,Osteosarcoma,SaOS-2,Osthole,10.0,48h,110.0,± 3,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,20.47,24h,98.0,± 4,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,40.94,24h,88.0,± 5,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,81.87,24h,86.0,± 4,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,20.47,48h,96.0,± 3,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,40.94,48h,90.0,± 2,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,81.87,48h,83.0,± 1,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,20.47,72h,94.0,± 1,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,40.94,72h,83.0,± 3,µM
Yinlan Xu 2025,lung adenocarcinoma,A549,Osthole,81.87,72h,77.0,± 1,µM
 Linjun Yan 2025,Prostate cancer,Du145,Osthole,50.0,48h,48.0,± 4,µM
 Linjun Yan 2025,Prostate cancer,Du145,Osthole,100.0,48h,41.0,± 4,µM
 Linjun Yan 2025,Prostate cancer,Du145,Osthole,150.0,48h,40.0,± 1,µM
 Linjun Yan 2025,Prostate cancer,Du145,Osthole,200.0,48h,36.0,± 1,µM
 Linjun Yan 2025,Prostate cancer,Du145,Osthole,300.0,48h,1.0,± 0,µM
 Linjun Yan 2025,Prostate cancer,Du145,Osthole,400.0,48h,0.0,± 0,µM
 Linjun Yan 2025,Prostate cancer,Du145,Osthole,500.0,48h,0.0,± 0,µM
 Linjun Yan 2025,Prostate cancer,PC3,Osthole,50.0,48h,85.0,± 11,µM
 Linjun Yan 2025,Prostate cancer,PC3,Osthole,100.0,48h,83.0,± 11,µM
 Linjun Yan 2025,Prostate cancer,PC3,Osthole,150.0,48h,75.0,± 6,µM
 Linjun Yan 2025,Prostate cancer,PC3,Osthole,200.0,48h,60.0,± 0,µM
 Linjun Yan 2025,Prostate cancer,PC3,Osthole,300.0,48h,55.0,± 0,µM
 Linjun Yan 2025,Prostate cancer,PC3,Osthole,400.0,48h,18.0,± 0,µM
 Linjun Yan 2025,Prostate cancer,PC3,Osthole,500.0,48h,0.0,± 0,µM
 Linjun Yan 2025,Prostate cancer,22RV1,Osthole,50.0,48h,89.0,± 8,µM
 Linjun Yan 2025,Prostate cancer,22RV1,Osthole,100.0,48h,89.0,± 11,µM
 Linjun Yan 2025,Prostate cancer,22RV1,Osthole,150.0,48h,84.0,± 13,µM
 Linjun Yan 2025,Prostate cancer,22RV1,Osthole,200.0,48h,68.0,± 4,µM
 Linjun Yan 2025,Prostate cancer,22RV1,Osthole,300.0,48h,66.0,± 3,µM
 Linjun Yan 2025,Prostate cancer,22RV1,Osthole,400.0,48h,45.0,± 9,µM
 Linjun Yan 2025,Prostate cancer,22RV1,Osthole,500.0,48h,6.0,± 0,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,81.87,12h,90.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,40.94,12h,94.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,20.47,12h,102.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,10.23,12h,110.0,± 4,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,5.12,12h,119.0,± 3,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,81.87,24h,80.0,± 4,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,40.94,24h,84.0,± 4,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,20.47,24h,89.0,± 3,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,10.23,24h,90.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,5.12,24h,96.0,± 3,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,81.87,36h,80.0,± 1,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,40.94,36h,89.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,20.47,36h,96.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,10.23,36h,106.0,± 1,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,5.12,36h,105.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,81.87,48h,71.0,± 1,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,40.94,48h,93.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,20.47,48h,97.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,10.23,48h,97.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,5.12,48h,96.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,81.87,60h,65.0,± 1,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,40.94,60h,85.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,20.47,60h,94.0,± 3,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,10.23,60h,92.0,± 1,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,5.12,60h,97.0,± 2,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,81.87,72h,67.0,± 4,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,40.94,72h,94.0,± 3,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,20.47,72h,100.0,± 1,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,10.23,72h,99.0,± 4,µM
Yinlan Xu2025,Lung cancer,A549,Osthole,5.12,72h,99.0,± 2,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,25.0,24h,97.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,50.0,24h,93.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,100.0,24h,74.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,150.0,24h,49.0,± 3,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,200.0,24h,32.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,25.0,48h,91.0,± 2,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,50.0,48h,76.0,± 2,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,100.0,48h,46.0,± 4,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,150.0,48h,31.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,200.0,48h,12.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,25.0,72h,83.0,± 2,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,50.0,72h,60.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,100.0,72h,25.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,150.0,72h,14.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,NOZ,Osthole,200.0,72h,6.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,25.0,24h,95.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,50.0,24h,96.0,± 3,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,100.0,24h,84.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,150.0,24h,71.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,200.0,24h,29.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,25.0,48h,96.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,50.0,48h,95.0,± 2,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,100.0,48h,74.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,150.0,48h,60.0,± 2,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,200.0,48h,18.0,± 0,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,25.0,72h,92.0,± 4,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,50.0,72h,88.0,± 8,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,100.0,72h,54.0,± 6,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,150.0,72h,43.0,± 6,µM
Tian Le Zou 2019,gallbladder cancer,SGC-996,Osthole,200.0,72h,8.0,± 0,µM
